"author1"	"author2"	"pubs"	"pubIDs"
"awasthi s"	"brady ka"	"0"	""
"awasthi s"	"brawner b"	"0"	""
"awasthi s"	"BUSHMAN F"	"0"	""
"awasthi s"	"CANCRO M"	"0"	""
"awasthi s"	"CATON A"	"0"	""
"awasthi s"	"chang km"	"0"	""
"awasthi s"	"chhatre s"	"0"	""
"awasthi s"	"COHEN GH"	"0"	""
"awasthi s"	"COLLMAN R"	"0"	""
"awasthi s"	"DOUGLAS SD"	"0"	""
"awasthi s"	"DOWSHEN N"	"0"	""
"awasthi s"	"EISENBERG RJ"	"0"	""
"awasthi s"	"Eisenlohr L"	"0"	""
"awasthi s"	"EPPERSON CN"	"0"	""
"awasthi s"	"Evans DL"	"0"	""
"awasthi s"	"friedman hm"	"9"	"28481687,28103319,27568015,26041292,24829358,24652496,24631871,24285847,24284325"
"awasthi s"	"GHOSE T"	"0"	""
"awasthi s"	"GROSS R"	"0"	""
"awasthi s"	"grover s"	"0"	""
"awasthi s"	"HAHN BH"	"0"	""
"awasthi s"	"Hahn SM"	"0"	""
"awasthi s"	"HOXIE J"	"0"	""
"awasthi s"	"HUNTER CA"	"0"	""
"awasthi s"	"jarvis jn"	"0"	""
"awasthi s"	"JEMMOTT J"	"0"	""
"awasthi s"	"JEMMOTT L"	"0"	""
"awasthi s"	"JOHNSON PR"	"0"	""
"awasthi s"	"JORDAN-SCIUTTO K"	"0"	""
"awasthi s"	"JUNE CH"	"0"	""
"awasthi s"	"koenig h"	"0"	""
"awasthi s"	"Kohler HP"	"0"	""
"awasthi s"	"KOHLI RM"	"0"	""
"awasthi s"	"KOLSON D"	"0"	""
"awasthi s"	"kovaric cl"	"0"	""
"awasthi s"	"LANGLEBEN DD"	"0"	""
"awasthi s"	"LIEBERMAN PM"	"0"	""
"awasthi s"	"LIU C"	"1"	"26900258"
"awasthi s"	"Lo Re V"	"0"	""
"awasthi s"	"LOWENTHAL ED"	"0"	""
"awasthi s"	"Mcguire JL"	"0"	""
"awasthi s"	"METZGER DS"	"0"	""
"awasthi s"	"MONTANER L"	"0"	""
"awasthi s"	"Moore JH"	"0"	""
"awasthi s"	"morroni c"	"0"	""
"awasthi s"	"O'doherty U"	"0"	""
"awasthi s"	"OBRIEN CP"	"0"	""
"awasthi s"	"ratcliffe s"	"0"	""
"awasthi s"	"RILEY JL"	"0"	""
"awasthi s"	"ROBERTSON ES"	"0"	""
"awasthi s"	"ROSS R"	"0"	""
"awasthi s"	"rutstein r"	"0"	""
"awasthi s"	"sawinski d"	"0"	""
"awasthi s"	"SCHNOLL RA"	"0"	""
"awasthi s"	"schulman ln"	"0"	""
"awasthi s"	"SCOTT PA"	"0"	""
"awasthi s"	"SHAW GM"	"0"	""
"awasthi s"	"shaw pa"	"0"	""
"awasthi s"	"stallings v"	"0"	""
"awasthi s"	"steenhoff ap"	"0"	""
"awasthi s"	"stevens r"	"0"	""
"awasthi s"	"su lf"	"0"	""
"awasthi s"	"TEBAS P"	"0"	""
"awasthi s"	"Teitelman A"	"0"	""
"awasthi s"	"Tomescu C"	"0"	""
"awasthi s"	"van duyne g"	"0"	""
"awasthi s"	"VILLARRUEL A"	"0"	""
"awasthi s"	"WEINER DB"	"0"	""
"awasthi s"	"Weissman D"	"0"	""
"awasthi s"	"WHERRY EJ"	"0"	""
"awasthi s"	"Wood s"	"0"	""
"awasthi s"	"WOODY GE"	"0"	""
"awasthi s"	"YEHIA B"	"0"	""
"awasthi s"	"YOU J"	"0"	""
"awasthi s"	"Yuan Y"	"1"	"29572430"
"awasthi s"	"ZETOLA N"	"0"	""
"azzoni l"	"BAR K"	"0"	""
"azzoni l"	"bau hh"	"0"	""
"azzoni l"	"Bauermeister J"	"0"	""
"azzoni l"	"BETTS M"	"0"	""
"azzoni l"	"BHANDOOLA A"	"0"	""
"azzoni l"	"BISSON GP"	"0"	""
"azzoni l"	"BLANK MB"	"0"	""
"azzoni l"	"blumberg ea"	"0"	""
"azzoni l"	"brady ka"	"0"	""
"azzoni l"	"brawner b"	"0"	""
"azzoni l"	"BUSHMAN F"	"0"	""
"azzoni l"	"CANCRO M"	"0"	""
"azzoni l"	"CATON A"	"0"	""
"azzoni l"	"chang km"	"0"	""
"azzoni l"	"chhatre s"	"0"	""
"azzoni l"	"COHEN GH"	"0"	""
"azzoni l"	"COLLMAN R"	"0"	""
"azzoni l"	"DOUGLAS SD"	"0"	""
"azzoni l"	"DOWSHEN N"	"0"	""
"azzoni l"	"EISENBERG RJ"	"0"	""
"azzoni l"	"Eisenlohr L"	"0"	""
"azzoni l"	"EPPERSON CN"	"0"	""
"azzoni l"	"Evans DL"	"0"	""
"azzoni l"	"friedman hm"	"0"	""
"azzoni l"	"GHOSE T"	"0"	""
"azzoni l"	"GROSS R"	"0"	""
"azzoni l"	"grover s"	"0"	""
"azzoni l"	"HAHN BH"	"0"	""
"azzoni l"	"Hahn SM"	"0"	""
"azzoni l"	"HOXIE J"	"0"	""
"azzoni l"	"HUNTER CA"	"0"	""
"azzoni l"	"jarvis jn"	"0"	""
"azzoni l"	"JEMMOTT J"	"0"	""
"azzoni l"	"JEMMOTT L"	"0"	""
"azzoni l"	"JOHNSON PR"	"0"	""
"azzoni l"	"JORDAN-SCIUTTO K"	"0"	""
"azzoni l"	"JUNE CH"	"0"	""
"azzoni l"	"koenig h"	"0"	""
"azzoni l"	"Kohler HP"	"0"	""
"azzoni l"	"KOHLI RM"	"0"	""
"azzoni l"	"KOLSON D"	"0"	""
"azzoni l"	"kovaric cl"	"0"	""
"azzoni l"	"LANGLEBEN DD"	"0"	""
"azzoni l"	"LIEBERMAN PM"	"0"	""
"azzoni l"	"LIU C"	"0"	""
"azzoni l"	"Lo Re V"	"0"	""
"azzoni l"	"LOWENTHAL ED"	"0"	""
"azzoni l"	"Mcguire JL"	"0"	""
"azzoni l"	"METZGER DS"	"0"	""
"azzoni l"	"MONTANER L"	"10"	"28419653,27467943,26671450,26609048,26555708,26423989,26366430,25684333,24587128,23570845"
"azzoni l"	"Moore JH"	"0"	""
"azzoni l"	"morroni c"	"0"	""
"azzoni l"	"O'doherty U"	"1"	"23570845"
"azzoni l"	"OBRIEN CP"	"0"	""
"azzoni l"	"ratcliffe s"	"0"	""
"azzoni l"	"RILEY JL"	"0"	""
"azzoni l"	"ROBERTSON ES"	"0"	""
"azzoni l"	"ROSS R"	"0"	""
"azzoni l"	"rutstein r"	"0"	""
"azzoni l"	"sawinski d"	"0"	""
"azzoni l"	"SCHNOLL RA"	"0"	""
"azzoni l"	"schulman ln"	"0"	""
"azzoni l"	"SCOTT PA"	"0"	""
"azzoni l"	"SHAW GM"	"0"	""
"azzoni l"	"shaw pa"	"0"	""
"azzoni l"	"stallings v"	"0"	""
"azzoni l"	"steenhoff ap"	"0"	""
"azzoni l"	"stevens r"	"0"	""
"azzoni l"	"su lf"	"0"	""
"azzoni l"	"TEBAS P"	"1"	"23570845"
"azzoni l"	"Teitelman A"	"0"	""
"azzoni l"	"Tomescu C"	"0"	""
"azzoni l"	"van duyne g"	"0"	""
"azzoni l"	"VILLARRUEL A"	"0"	""
"azzoni l"	"WEINER DB"	"0"	""
"azzoni l"	"Weissman D"	"0"	""
"azzoni l"	"WHERRY EJ"	"0"	""
"azzoni l"	"Wood s"	"0"	""
"azzoni l"	"WOODY GE"	"0"	""
"azzoni l"	"YEHIA B"	"0"	""
"azzoni l"	"YOU J"	"0"	""
"azzoni l"	"Yuan Y"	"0"	""
"azzoni l"	"ZETOLA N"	"0"	""
"BAR K"	"bau hh"	"0"	""
"BAR K"	"Bauermeister J"	"0"	""
"BAR K"	"BETTS M"	"0"	""
"BAR K"	"BHANDOOLA A"	"0"	""
"BAR K"	"BISSON GP"	"0"	""
"BAR K"	"BLANK MB"	"0"	""
"BAR K"	"blumberg ea"	"0"	""
"BAR K"	"brady ka"	"0"	""
"BAR K"	"brawner b"	"0"	""
"BAR K"	"BUSHMAN F"	"0"	""
"BAR K"	"CANCRO M"	"0"	""
"BAR K"	"CATON A"	"0"	""
"BAR K"	"chang km"	"0"	""
"BAR K"	"chhatre s"	"0"	""
"BAR K"	"COHEN GH"	"0"	""
"BAR K"	"COLLMAN R"	"0"	""
"BAR K"	"DOUGLAS SD"	"0"	""
"BAR K"	"DOWSHEN N"	"0"	""
"BAR K"	"EISENBERG RJ"	"0"	""
